predicate_id,predicate_label,predicate_description
P210,party chief representative,chief representative of a party in an institution or an administrative unit (use qualifier to identify the party)
P2175,medical condition treated,"disease that this pharmaceutical drug, procedure, or therapy is used to treat"
P2176,drug or therapy used for treatment,"drug, procedure, or therapy that can be used to treat a medical condition"
P2184,history of topic,"item about the historical development of a subject's topic, example: ""history of Argentina"" for ""Argentina"". To list key events of the topic, use ""significant event"" (P793)"
P22,father,"male parent of the subject. For stepfather, use stepparent (P3448)"
P2238,official symbol,official symbol of an organisation
P2239,first aid measures,"actions to take to help a person in the case of exposure to this hazard or malady (accidents, injuries, harmful chemicals)"
P2283,uses,item or concept used by the subject or in the operation (see also instrument [P1303] and armament [P520])
P2291,charted in,chart where the element reached a position
P2293,genetic association,"general link between a disease and the causal genetic entity, if the detailed mechanism is unknown/unavailable"
P2308,class,"qualifier to define a property constraint in combination with ""property constraint"" (P2302)"
P2319,elector,people or other entities which are qualified to participate in the subject election
P2341,indigenous to,"place or ethnic group where a language, art genre, cultural tradition or expression, cooking style or food, or biological species or variety is found (or was originally found)"
P2348,time period,"time period (historic period or era, sports season, theatre season, legislative period etc.) in which the subject occurred or with which it is associated"
P2358,praenomen,"standard part of the name of a Roman (and related cultures), link to items for specific Roman praenomen only"
P2359,nomen gentilicium,"standard part of the name of a Roman (and related cultures), link to items about the Roman gens only"
P2360,intended public,"intended audience or user of this work, product, object, or event"
P2361,online service,online service or online service provider tied to an item
P2365,cognomen,"standard part of the name of a Roman (and related cultures), link to items about specific Roman cognomen only"
P2366,agnomen,"optional part of the name of a Roman (and related cultures), link to items for specific Roman agnomen only"
P237,coat of arms,subject's coat of arms
P2378,issued by,"organisation or other agent that issues or allocates an identifier, code, classification number, etc."
P2388,position held by head of the organization,position of the head of this item
P2389,organization directed by the office or position,organization or project which is directed by this office
P2408,set in period,"historical, contemporary, or future period, year, century or day the work or genre is set in or event featured in the story of the work"
P241,military branch,"branch to which this military unit, award, office, or person belongs, e.g. Royal Navy"
P2414,substrate of,substrate that an enzyme acts upon to create a product
P2416,sports discipline competed in,discipline an athlete competed in within a sport
P2438,narrator,"narrator, character or person that tells the story"
P2462,member of the deme,name of the deme in Ancient Attica to which the item belonged
P25,mother,"female parent of the subject. For stepmother, use stepparent (P3448)"
P2500,league level below,the league below this sports league
P2512,has spin-off,works that are spin-offs of this item
P2515,costume designer,"person who designed the costumes for a film, television programme, etc."
P2522,competition won,competition or sports event won by the subject
P2541,operating area,"geographic area or jurisdiction an organisation or industry operates in, serves, or has responsibility for"
P2546,sidekick of,close companion of a fictional character
P2548,strand orientation,orientation of gene on double stranded DNA molecule
P2550,recording or performance of,item is a recording or release of this composition
P2551,used metre,rhythmic structure of the poetic text or musical piece
P2554,production designer,"person(s) responsible for overall aesthetic of the story of this motion picture, play, video game or similar; responsible for visual concept, producing interior, exterior, location, graphics, etc; deals with many and varied logistic related to this"
P2563,superhuman feature or ability,"superhuman, supernatural, or paranormal abilities that the fictional subject exhibits"
P2564,Köppen climate classification,indicates the characteristic climate of a place
P2578,is the study of,"the object that an academic field studies; distinct from field of work (P101), which is used for human, organization, etc."
P2579,studied by,subject is studied by this science or domain
P2596,culture,human culture or people (or several cultures) associated with this item
P26,spouse,"the subject has the object as their spouse (husband, wife, partner, etc.). Use unmarried partner (P451) for non-married companions"
P2629,BBFC rating,"British media content rating (add BBFC reference with qualifier ""P2676"")"
P263,official residence,the residence at which heads of government and other senior figures officially reside
P2632,place of detention,place where this person is or was detained
P2634,model,"person who appears in an artwork or photograph, in the role of an artist's model, rather than subject"
P264,record label,brand and trademark associated with the marketing of subject music recordings and music videos
P2650,interested in,item of special or vested interest to this person or organisation
P2652,partnership with,partnership (commercial or/and non-commercial) between this organization and another organization or institution
P2670,has part(s) of the class,the subject has one or more parts of the object class
P2675,reply to,the intellectual work to which the subsequent work is a direct reply
P2684,Kijkwijzer rating,Dutch media content rating system
P27,country of citizenship,the object is a country that recognizes the subject as its citizen
P272,production company,"company that produced this film, audio or performing arts work"
P276,location,"location of the object, structure or event; use P131 to indicate the containing administrative entity, P8138 for statistical entities, or P706 for geographic entities; use P7153 for locations associated with the object"
P277,programmed in,the programming language(s) in which the software is developed
P2770,source of income,source of income of an organization or person
P2789,connects with,item with which the item is physically connected
P2813,house publication,"media that speaks for an organization or a movement, and that is usually edited by its members"
P2817,appears in the heritage monument list,heritage monument is a part of the list of heritage monuments
P282,writing system,"alphabet, character set or other system of writing used by a language, word, or text, supported by a typeface"
P2828,corporate officer,person who holds a specific position
P2849,produced by,links a class of biological features (such as a biochemical compound) with another class of biological entities known to produce it
P2851,payment types accepted,types of payment accepted by a venue
P286,head coach,"on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person"
P2860,cites work,citation from one creative or scholarly work to another
P2868,subject has role,"role held by the item the statement appears on (""subject"") in the context of that statement. For the role of the statement object/value, use P3831 (""object has role""). For acting roles, use P453 (""character role""). For persons, use P39."
P287,designed by,"person or organization which designed the object. For buildings use ""architect"" (Property:P84)"
P2881,promoted,competitor or team promoted during competition
P2894,day of week,"day of the week on which this item occurs, applies to or is valid"
P291,place of publication,geographical place of publication of the edition (use 1st edition when referring to works)
P2922,month of the year,"month of the year during which this item occurs, applies to or is valid in"
P2925,domain of saint or deity,domain(s) which this saint or deity controls or protects
P2936,language used,language widely used (spoken or written) in this place or at this event or organisation
P30,continent,continent of which the subject is a part
P3018,located in protected area,protected area where a place or geographical feature is physically located
P3032,adjacent building,structure or building adjacent to the item
P306,operating system,operating system (OS) on which a software works or the OS installed on hardware
P3075,official religion,official religion in this administrative entity
P3080,game artist,"game artist(s) that produced art assets for role-playing games, collectible card games, video game, etc."
P3082,destroyed,physical items destroyed by this event
P3091,mount,"creature ridden by the subject, for instance a horse"
P3092,film crew member,"member of the crew creating an audiovisual work, used for miscellaneous roles qualified with the job title when no specific property exists. Don't use if such a property is available: notably for cast member (P161), director (P57), etc."
P3095,practiced by,type of agents that study this subject or work in this field
P3137,parent peak,"higher peak whose territory this peak resides in, where the territory is defined by a contour line through a key col, which can be selected based on several competing approaches"
P3150,birthday,"item for day and month on which the subject was born. Used when full ""date of birth"" (P569) isn't known."
P3156,Australian Classification,content rating of an audiovisual work or video game in the Australian Classification system
P3161,has grammatical mood,language has this grammatical mood/mode for signaling modality
P3173,offers view on,"things, places this place offers views on"
P3174,art director,"person credited as the art director/artistic director of this work; manages the process of making the visuals, which is done by concept artists, graphic designers, set designers, costume designers, lighting designers; See also P8938 for organizations"
P3179,territory overlaps,part or all of the area associated with (this) entity overlaps part or all of the area associated with that entity
P3259,intangible cultural heritage status,status of an item that is designated as intangible heritage
P3279,statistical leader,"leader of a sports tournament in one of statistical qualities (points, assists, rebounds etc.)."
P3300,musical conductor,"the person who directs a musical group, orchestra or chorus"
P3301,broadcast by,"channel, network, website or service that broadcast this item over radio, television or the Internet"
P3320,board member,member(s) of the board for an organization
P3335,associated hazard,"hazards implicit in the subject item: that a sign warns of; that one may encounter in this place, on this thoroughfare; that are inherent properties of (or threats to) the subject; etc."
P3342,significant person,person linked to the item in any possible way
P3349,designed to carry,what the vehicle or class of vehicles is or was designed to carry
P3364,stereoisomer of,target item is a stereoisomer of this item
P3373,sibling,"the subject and the object have at least one common parent (brother, sister, etc. including half-siblings); use relative (P1038) for siblings-in-law (brother-in-law, sister-in-law, etc.) and step-siblings (step-brothers, step-sisters, etc.)"
P3403,coextensive with,this item has the same boundary as the target item; area associated with (this) entity is identical with the area associated with that entity
P3438,vehicle normally used,vehicle the subject normally uses
P344,director of photography,"person responsible for the framing, lighting, and filtration of the subject work"
P3448,stepparent,subject has the object as their stepparent
P3450,sports season of league or competition,"property that shows the competition of which the item is a season. Use P5138 for ""season of club or team""."
P3461,designated as terrorist by,"country or organization that has officially designated a given group as a terrorist organization (e.g. for India, listed on http://mha.nic.in/BO )"
P3493,legal status (medicine),"legal status for pharmaceutical drugs, e.g. general sales list for paracetamol in the UK"
P35,head of state,official with the highest formal authority in a country/state
P355,child organization or unit,"child organization/unit of a organization/unit; for companies, generally a fully owned separate corp., see business division (P199); opposite of parent org./unit (P749); use instance of (P31) to distinguish org. (Q43229) and org. unit (Q10387680)"
P358,discography,item for list pages with discography of artist or band
P36,capital,"seat of government of a country, province, state or other type of administrative territorial entity"
P360,is a list of,common element between all listed items
P3602,candidacy in election,election where the subject is a candidate
P361,part of,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))"
P364,original language of film or TV show,"language in which a film or a performance work was originally created. Deprecated for written works and songs; use P407 (""language of work or name"") instead."
P366,has use,main use of the subject (includes current and former usage)
P37,official language,language designated as official by this item
P3701,incarnation of,incarnation of another religious or supernatural being
P371,presenter,main role in presenting a radio or television program or a performing arts show
P3712,has goal,desired result or outcome
P3716,social classification,social class as recognized in traditional or state law
P3719,regulated by,"organization that acts as regulator of an activity, financial market, or stock exchange"
P3729,next lower rank,"lower rank or level in a ranked hierarchy like sport league, military ranks. If there are several possible, list each one and qualify with ""criterion used"" (P1013), avoid using ranks and date qualifiers. For sports leagues/taxa, use specific properties instead."
P3730,next higher rank,"higher rank or level in a ranked hierarchy like sport league, military ranks. If there are several possible, list each one and qualify with ""criterion used"" (P1013), avoid using ranks and date qualifiers. For sports leagues/taxa, use specific properties instead."
P375,space launch vehicle,type of rocket or other vehicle for launching subject payload into outer space
P3772,agonist of,protein for which this chemical acts as an agonist
P3776,inhibitor of,"protein for which this chemical compound acts as an inhibitor; only specify the inhibited function if the protein has more than one function (qualifier ""of"")"
P3780,active ingredient in,"is part of and forms biologically active component. Inverse of ""has active ingredient"""
P3781,has active ingredient,"has part biologically active component; inverse of ""active ingredient in"" (P3780)"
P38,currency,currency used by item
P3803,original film format,film format (gauge/size) used to create a work
P3815,volcano observatory,institution that monitors this volcanic landform or phenomenon
P3828,wears,clothing or accessory worn on subject's body
P3834,RTC film rating,rating of a film in the Mexican film classification system
P3842,located in the present-day administrative territorial entity,the item was located in the territory of this present-day administrative unit; however the two did not at any point coexist in time
P3871,tributary orientation,specify if the stream confluence is a left bank or right bank tributary
P39,position held,subject currently or formerly holds the object position or public office
P3919,contributed to creative work,"person is cited as contributing to some creative or published work or series (qualify with subject has role, P2868)"
P3931,copyright holder,person or organisation who holds the copyright of a work according to the Berne Convention
P3938,named by,person or organisation that coined the name; use as qualifier for P2561 and its subproperties
P3966,programming paradigm,programming paradigm in which a programming language is classified
P397,parent astronomical body,major astronomical body the item belongs to
P3975,general secretary,"leader of a political or international organization, sometimes below the chairperson (P488)"
P398,child astronomical body,minor body that belongs to the item
P3989,members have occupation,some or all members of this group share the occupation
P40,child,"subject has object as child. Do not use for stepchildren—use relative (P1038), qualified with type of kinship (P1039)"
P400,platform,"platform for which a work was developed or released, or the specific platform version of a software product"
P403,mouth of the watercourse,the body of water to which the watercourse drains
P4044,therapeutic area,disease area in which a medical intervention is applied
P406,soundtrack release,music release that incorporates music directly recorded from the soundtrack of an audiovisual work
P407,language of work or name,"language associated with this creative work (such as books, shows, songs, broadcasts or websites) or a name (for persons use ""native language"" (P103) and ""languages spoken, written or signed"" (P1412))"
P408,software engine,software engine employed by the subject item
P4082,captured with,"equipment (e.g. model of camera, lens, microphone), used to capture this image, video, audio, or data"
P410,military or police rank,"military or police rank achieved by a person (should usually have a start time qualifier), or military or police rank associated with a position"
P411,canonization status,formal stage in the process of attaining sainthood per the subject's religious organization
P412,voice type,"person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)"
P413,position played on team / speciality,position or specialism of a player on a team
P414,stock exchange,exchange on which this company is traded
P4147,conjugate acid,species formed by accepting a proton (H⁺)
P4149,conjugate base,species formed by losing a proton (H⁺)
P4151,game mechanics,constructs of rules or methods designed for interaction with the game state
P417,patron saint,patron saint adopted by the subject
